No.,Original release date,Original ISBN,English release date,English ISBN
1,"May 25, 2015[5]",978-4-04-067657-9,"February 7, 2019 (Digital)May 7, 2019 (Physical)[6]",978-1-64-275137-6
2,"September 25, 2015[7]",978-4-04-067778-1,"May 16, 2019 (Digital)August 13, 2019 (Physical)[8]",978-1-64-275139-0
3,"January 25, 2016[9]",978-4-04-068008-8,"July 18, 2019 (Digital)November 19, 2019 (Physical)[10]",978-1-64-275723-1
4,"May 25, 2016[11]",978-4-04-068338-6,"November 21, 2019 (Digital)February 25, 2020 (Physical)[12]",978-1-64-505197-8
4.5,"September 23, 2016[13]",978-4-04-068629-5,"February 6, 2020 (Digital)June 16, 2020 (Physical)[14]",978-1-64-505437-5
5,"January 25, 2017[15]",978-4-04-069017-9,"May 14, 2020 (Digital)July 21, 2020 (Physical)[16]",978-1-64-505486-3
6,"May 25, 2017[17]",978-4-04-069231-9,"July 23, 2020 (Digital)October 13, 2020 (Physical)[18]",978-1-64-505751-2
7,"October 25, 2017[19]",978-4-04-069458-0,"October 29, 2020 (Digital)January 19, 2021 (Physical)[20]",978-1-64-505820-5
7.5,"January 25, 2018[21]",978-4-04-069675-1,"February 4, 2021 (Digital)March 23, 2021 (Physical)[22]",978-1-64-505975-2
8,"May 25, 2018[23]",978-4-04-069861-8,"May 27, 2021 (Digital)June 22, 2021 (Physical)[24]",978-1-64-827223-3
9,"September 25, 2018[25]",978-4-04-065157-6,"August 26, 2021 (Digital)September 28, 2021 (Physical)[26]",978-1-64-827261-5
10,"January 25, 2019[27]",978-4-04-065506-2,"February 17, 2022 (Digital)March 15, 2022 (Physical)[28]",978-1-64-827321-6
11,"May 25, 2019[29]",978-4-04-065739-4,"April 7, 2022 (Digital)May 10, 2022 (Physical)[30]",978-1-64-827361-2
11.5,"September 25, 2019[31]",978-4-04-064007-5,"May 12, 2022 (Digital)June 28, 2022 (Physical)[32]",978-1-63858-102-4
